,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
0,conceptofseeing_2024_23_04_MWM_Lola9,0.583333333,35,1859.5,111570,Lola9,phase,exploration,,,,FALSE,,0.000199659,0.636455428,3,10502,0,2440,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16177,#799ef3,16171
1,conceptofseeing_2024_23_04_MWM_Lola9,474.05,28443,481.7333333,28904,Lola9,latency_first_choice,visible,,,,FALSE,,0.162254206,0.164883998,3,10502,0,2440,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16186,#d879f3,16173
2,conceptofseeing_2024_23_04_MWM_Lola9,481.45,28887,,,Lola9,approach,yes_approach,,,,TRUE,,0.164787021,0.164787021,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16192,#79eff3,16175
3,conceptofseeing_2024_23_04_MWM_Lola9,481.8,28908,,,Lola9,choice,seen,,,,TRUE,,0.164906816,0.164906816,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16183,#f379a3,16172
4,conceptofseeing_2024_23_04_MWM_Lola9,483.3,28998,,,Lola9,food_taken,seen,,,,TRUE,,0.165420225,0.165420225,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16189,#7985f3,16174
5,conceptofseeing_2024_23_04_MWM_Lola9,616.7,37002,702.0333333,42122,Lola9,latency_first_choice,non_visible,,,,FALSE,,0.211079356,0.240286596,3,10502,0,2440,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16187,#79f3b4,16173
6,conceptofseeing_2024_23_04_MWM_Lola9,701.4833333,42089,,,Lola9,approach,yes_approach,,,,TRUE,,0.240098346,0.240098346,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16192,#79eff3,16175
7,conceptofseeing_2024_23_04_MWM_Lola9,702.0333333,42122,,,Lola9,choice,unseen,,,,TRUE,,0.240286596,0.240286596,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16184,#79c7f3,16172
8,conceptofseeing_2024_23_04_MWM_Lola9,703.1666667,42190,,,Lola9,food_taken,unseen,,,,TRUE,,0.240674505,0.240674505,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16190,#a9f379,16174
9,conceptofseeing_2024_23_04_MWM_Lola9,847.85,50871,870.35,52221,Lola9,latency_first_choice,visible,,,,FALSE,,0.290195609,0.297896736,3,10502,0,2440,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16186,#d879f3,16173
10,conceptofseeing_2024_23_04_MWM_Lola9,869.9,52194,,,Lola9,approach,yes_approach,,,,TRUE,,0.297742714,0.297742714,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16192,#79eff3,16175
11,conceptofseeing_2024_23_04_MWM_Lola9,870.35,52221,,,Lola9,choice,seen,,,,TRUE,,0.297896736,0.297896736,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16183,#f379a3,16172
12,conceptofseeing_2024_23_04_MWM_Lola9,871.8833333,52313,,,Lola9,food_taken,seen,,,,TRUE,,0.298421554,0.298421554,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16189,#7985f3,16174
13,conceptofseeing_2024_23_04_MWM_Lola9,988.1333333,59288,990.5833333,59435,Lola9,latency_first_choice,non_visible,,,,FALSE,,0.338210714,0.339049282,3,10502,0,2440,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16187,#79f3b4,16173
14,conceptofseeing_2024_23_04_MWM_Lola9,990.1666667,59410,,,Lola9,approach,yes_approach,,,,TRUE,,0.338906668,0.338906668,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16192,#79eff3,16175
15,conceptofseeing_2024_23_04_MWM_Lola9,990.5833333,59435,,,Lola9,choice,unseen,,,,TRUE,,0.339049282,0.339049282,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16184,#79c7f3,16172
16,conceptofseeing_2024_23_04_MWM_Lola9,991.8,59508,,,Lola9,food_taken,unseen,,,,TRUE,,0.339465713,0.339465713,3,10502,0,2440,LOOPY_scoring_event_nonsocial,Nonsocial Event,16190,#a9f379,16174
