,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
0,Conceptofseeing_2023_12_07_PW_Toffee5,27.03330807,1622,610.949429,36657,Toffee5,phase,exploration,,,,FALSE,,0.024749378,0.559332896,3,10690,0,2445,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16382,#f3797a,16376
1,Conceptofseeing_2023_12_07_PW_Toffee5,80.34992491,4821,82.46658959,4948,Toffee5,latency_first_choice,non_visible,,,,FALSE,,0.0735615,0.075499336,3,10690,0,2445,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16392,#e9f379,16378
2,Conceptofseeing_2023_12_07_PW_Toffee5,82.46658959,4948,,,Toffee5,choice,unseen,,,,TRUE,,0.075499336,0.075499336,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16389,#7ff379,16377
3,Conceptofseeing_2023_12_07_PW_Toffee5,84.8499207,5091,,,Toffee5,food_taken,unseen,,,,TRUE,,0.07768131,0.07768131,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16395,#f39279,16379
4,Conceptofseeing_2023_12_07_PW_Toffee5,197.5998153,11856,213.3998006,12804,Toffee5,latency_first_choice,non_visible,,,,FALSE,,0.180905443,0.195370554,3,10690,0,2445,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16392,#e9f379,16378
5,Conceptofseeing_2023_12_07_PW_Toffee5,213.3998006,12804,,,Toffee5,choice,unseen,,,,TRUE,,0.195370554,0.195370554,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16389,#7ff379,16377
6,Conceptofseeing_2023_12_07_PW_Toffee5,238.216444,14293,,,Toffee5,food_taken,seen,,,,TRUE,,0.218090544,0.218090544,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16394,#79f3b5,16379
7,Conceptofseeing_2023_12_07_PW_Toffee5,323.1996979,19392,331.4830235,19889,Toffee5,latency_first_choice,non_visible,,,,FALSE,,0.295893923,0.303477425,3,10690,0,2445,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16392,#e9f379,16378
8,Conceptofseeing_2023_12_07_PW_Toffee5,331.4830235,19889,,,Toffee5,choice,unseen,,,,TRUE,,0.303477425,0.303477425,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16389,#7ff379,16377
9,Conceptofseeing_2023_12_07_PW_Toffee5,332.7830223,19967,,,Toffee5,food_taken,unseen,,,,TRUE,,0.304667592,0.304667592,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16395,#f39279,16379
10,Conceptofseeing_2023_12_07_PW_Toffee5,422.4996051,25350,424.7829363,25487,Toffee5,latency_first_choice,visible,,,,FALSE,,0.386804401,0.388894823,3,10690,0,2445,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16391,#79c6f3,16378
11,Conceptofseeing_2023_12_07_PW_Toffee5,424.7829363,25487,,,Toffee5,choice,seen,,,,TRUE,,0.388894823,0.388894823,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16388,#9779f3,16377
12,Conceptofseeing_2023_12_07_PW_Toffee5,426.4829347,25589,,,Toffee5,food_taken,seen,,,,TRUE,,0.390451196,0.390451196,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16394,#79f3b5,16379
13,Conceptofseeing_2023_12_07_PW_Toffee5,610.949429,36657,736.4993117,44190,Toffee5,phase,pretest1a,,,,FALSE,,0.559332896,0.6742756,3,10690,0,2445,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16383,#799df3,16376
14,Conceptofseeing_2023_12_07_PW_Toffee5,718.999328,43140,,,Toffee5,approach,no_approach,,,,TRUE,,0.658254116,0.658254116,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16398,#f379cb,16380
15,Conceptofseeing_2023_12_07_PW_Toffee5,736.4993117,44190,803.9159153,48235,Toffee5,phase,pretest2,,,,FALSE,,0.6742756,0.73599646,3,10690,0,2445,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16384,#c1f379,16376
16,Conceptofseeing_2023_12_07_PW_Toffee5,781.8492693,46911,794.8159238,47689,Toffee5,latency_first_choice,non_visible,,,,FALSE,,0.715794132,0.727665288,3,10690,0,2445,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,16392,#e9f379,16378
17,Conceptofseeing_2023_12_07_PW_Toffee5,794.8159238,47689,,,Toffee5,choice,unseen,,,,TRUE,,0.727665288,0.727665288,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16389,#7ff379,16377
18,Conceptofseeing_2023_12_07_PW_Toffee5,795.0659236,47704,,,Toffee5,food_taken,unseen,,,,TRUE,,0.727894167,0.727894167,3,10690,0,2445,LOOPY_scoring_event_nonsocial,Nonsocial Event,16395,#f39279,16379
